product_family_name,product_id,train_sales_amount,reason_type,reason_message
BLINGKEYRING,90214V,52.4,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE BUTTERFLY ON SPRING,44241C,59.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE CHECK BAG W HANDLE 34X20CM,62043B,74.32999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE HOLE PUNCH,16248B,90.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE KNITTED KID'S RUCKSACK,84529B,62.35,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE NETTING STORAGE HANGER,78034B,21.45,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE ORGANDY ROUND LAMPSHADE W BEA,40005B,20.4,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE TILED SET OF 3 DRAWERS,20791,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BLUE TRAVEL FIRST AID KIT,84874B,89.02,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BOXED GLASS ASHTRAY,DCGS0003,32.589999999999996,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BROKEN,21320,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BROKENZIPS,22785,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BROWN ANTIQUE CUBE CANDLE,72606A,94.92,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BROWN DOG CANNISTER W BONE,84575B,11.9,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BURG FLOCK GOLD CUP/CANDLE,72771B,61.94,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
BUTTERFLY HAIR BAND,90174,43.29,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Bank Charges,BANK CHARGES,-32883.79,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAMOUFLAGE BACKPACK ON WHEELS,78056,12.849999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAMOUFLAGUE DOG LEAD,DCGS0075,12.72,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CANDLERING,35537,14.39,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CANNABIS LEAF BEAD CURTAIN,44228,30.599999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CANNISTER,84575A,92.85,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CANVASSCREEN,84731,3.3,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CARFRESHENER,DCGS0062,5.08,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CARNATION SQUARE HANDY TIN,84845C,48.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAROUSEL CHILDRENS APRON,47591A,38.06999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAROUSEL PLACEMATS,84509E,23.060000000000002,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAT CAMOUFLAGUE COLLAR,DCGS0072,20.68,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"CAT FOOD CONTAINER , VINTAGE",22845,63.49999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CAT W SUNGLASSES BLANK CARD,84206B,0.76,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CERAMIC CAKE TEAPOT WITH CHERRY,37451,-3.55,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CHECK,84968E,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CHECKED,21018,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CHILDRENS TOY COOKING UTENSIL SET,23348,41.3,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CHROME EURO HOOK 20cm,49031B,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CIRCUS PARADE LUNCHBOX,22631,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CLASSIC DIAMANTE EARRINGS JET,90177A,20.59,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CLEAR STATIONERY BOX SET,16020C,69.69999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
COGNAC AUX OEUFS METAL 1 HOOK,82545A,38.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
COLOURFUL FLOWER FRUIT BOWL,35265,76.2,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
COUNTED,20738,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CRACKEDGLAZEEARRINGS,90054,73.82,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CREAM SWEETHEART DOUBLE SHELF,85069,-50.849999999999994,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CREATURESCREEN,84732B,14.849999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CROCHET DOG KEYRING,84551,42.89999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CROCHET POODLE KEYRING,84546,4.949999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CROCHET ROSE DES CLOTHES HANGER,84593,76.7,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CROCHETBEARKEYRING,84548,82.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CRUSHED,21431,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CRYSTAL CHANDELIER T-LIGHT HOLDER,23056,18.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CRYSTALDROPEARRINGS,90011A,67.96,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
CRYSTALPHOTOFRAME,85023A,55.199999999999996,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Carton qnty was 216 not 144 as stat,22734,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DADDY MOUSE RED GINGHAM BOW TIE,21838,5.45,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DAMAGED,22423,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DAMAGES,35978,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"DAMAGES,LOSTBITSETC",84782A,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DAMAGES?,21007,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DECORATION SITTING BUNNY,22268,6.359999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DECORATION WOBBLY CHICKEN,22287,69.24,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DECOUPAGEBOXSET,85184C,8.74,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DISCOLOURED,72739B,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DISPLAY,84763,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DISTRESSED CANDLE STICK WHITE,21450,17.849999999999998,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"DOG FOOD CONTAINER , VINTAGE",22844,85.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DOILEY STORAGE TIN,23236,8.67,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DONATEDITEM,22502,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DOTCOMSALES,46000M,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DOUBLE CERAMIC PARLOUR HOOK,23075,33.2,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
DUCK SOCK PUPPET,85185E,6.700000000000002,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dad's Cab Electronic Meter,21595,93.89,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Damp and rusty,47505,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Discount,D,-9467.91,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dotcom multiple,85217,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dotcom multiples,84879,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dotcom set,85172,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dotcom sold as set,84937,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Dotcom sold in 6's,22127,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
EBAYSALES,84016,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ELEPHANT CLIP W SUCTION CUP,62074B,15.120000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
EMBOSSED FLOWER TRELLIS PHOTO FRAME,20812,12.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENCHANTED GARDEN WROUGHT IRON TABLE,84757,74.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE DESIGN KITCHEN APRON,47567,-5.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE DESIGN SHOPPING BAG,47569,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE PHOTO FRAME,84705A,69.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE SET/3 GARDEN TOOLS,47504J,43.4,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE SQUARE CAKE TINS,79070b,11.26,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
ENGLISH ROSE TEA FOR ONE GIFT BOX,37484,6.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Ebay sales by the box.,84016,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Electronic Talking Breath-A-Loser,21919,30.47,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"F.FAIRY S/3 SML CANDLE, LAVENDER",72751B,5.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAIRY CAKES GIFT BAG,84537B,49.14,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAIRY CAKES WALL THERMOMETER,84925C,71.39999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAIRY DESIGN MUGS,37326,3.36,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAIRYCANDLEINGLASS,72752B,17.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAIRYCANDLESMALL,72751C,11.9,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FAN BLACK FRAME,15030,33.64,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FELTCRAFT HAIRBANDS PINK + WHITE,22565,61.199999999999996,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FILIGREE DIAMANTE CHAIN,90020,51.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FILIGREE DIAMANTE EARRINGS,90023,97.93,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FLOWER DES BLUE HANDBAG/ORANG HANDL,16151A,11.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FLOWERCLOCK,81950B,89.7,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FLOWERFAIRYMUG+COASTER,37477B,67.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FOLDING CAMPING SCISSOR W/KNIF & S,16010,5.279999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FOLDING SHIRT TIDY,45014,4.65,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FOLKART ZINC CLIP ON ANGEL WINGS,35963,39.52,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"FOOD COVER WITH BEADS , SET 2 SIZES",23299,11.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FOUND,22864,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FOUR PICTURE WHITE GLASS FRAME,84424A,86.25,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FRENCH STYLE WIRE DOOR CABINET,21767,29.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FRENCHSTYLESTORAGEJAR,23186,45.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FRIDGEMAGNETSSET,21699,-20.28,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FROSTED GLASS WITH SILVER SURROUND,84567,14.85,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FUNKY FLOWER COFFEE POT,37438,7.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FUNKY GIRLZ MAGNETIC TO DO LIST,16215,5.2,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
FUSCHIA VOILE POINTY SHOE DEC,47348A,24.18,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GIVENAWAY,20852,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GLASS BEAD HOOP EARRINGS MONTANA,90027B,35.38,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GLASS BELL JAR LARGE,22777,34.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GLASS BELL JAR SMALL,22778,31.6,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GLASS WINE GLASS DECORATIONS,79413,37.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GLOW IN DARK DOLPHINS,84199,80.13,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GOLD JEWELERY BOX,21343,58.10000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GOLD PRINT PAPER BAG,35271S,89.58,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GONE,35821B,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GREEN CHENILLE SHAGGY C/COVER,46138D,1.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GREEN ENAMEL FLOWER HAIR TIE,90202C,62.22,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GREEN METAL BOX TOP SECRET,23081,99.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
GROOVY CACTUS INFLATABLE,10080,11.899999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
"GUMBALL COATHOOK., BLACK & WHITE",22719,25.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Glow In The Dark Shot Glasses,21119,41.01,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HANDYTIN,84845D,48.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HANGING HEART BASKET,85195,88.30000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HANGING SPRING FLOWER HEART SMALL,85192S,1.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HANGINGEASTERHEN,84745B,66.78,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HANGINGJEWEL,35819B,87.47,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HAPPY ANNIVERSARY CANDLE LETTERS,72140F,18.06,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HARDMAN MUG 3 ASSORTED,37468,21.09,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HAYNES CAMPER SHOULDER BAG,DCGS0004,67.94,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEART MEASURING SPOONS SMALL,22196,10.2,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEART SHAPED HOLLY WREATH,23129,58.10000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEART WREATH DECORATION WITH BELL,23212,39.96,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEARTS PENCIL/RUBBER+5 MINI PENCILS,16256C,65.10000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEN & 2 CHICKS IN BASKET,22657,55.24999999999999,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEN PARTY BANNER TAPE,22954,15.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HEXAGONAL CRYSTAL PERFUME BOTTLE,84814A,1.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
HIGH SCHOOL MUSICAL 3 TOP TRUMPS,21858,10.23,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
IVORY CAFE HANGING LAMP,23104,62.5,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
IVORY PANTRY HANGING LAMP,23104,25.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
Incorrectly entered. should be 2279,22784,0.0,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
JACOBS LADDER SMALL,35015,99.52000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
JAZZ HEARTS SPIRAL NOTEPAD,20994,39.949999999999996,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
JEWELSTAND,35650,29.700000000000003,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KASHMIR FOLKART HEART DISHES,84942,5.07,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KEY-RING CORKSCREW,DCGS0037,12.72,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KID'S CHALKBOARD/EASEL,SP1002,14.75,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KISSING REINDEER TABLE RUNNER,85077,5.95,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KNICKKNACKTINSSET4,23239,99.60000000000001,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
KNITTED RABBIT DOLL,84539,85.8,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
LARGE FIBRE OPTIC CHRISTMAS TREE,84340,65.76,dropped_before_clustering,This product was excluded before clustering because its training-period sales_amount was below the cutoff of 100.
